NBC/Marist,
Brown University,Brown University
Loras College,
NY1/Capital New York/Siena,
Democracy Corps,Greenberg Quinlan Rosner (Democracy Corps)
Harper,Harper Polling
University of Mary Washington/PSRAI,
Hays Research/Walker (I),
Monmouth University/Asbury Park Press,
Columbus Dispatch,Columbus Dispatch
YouGov,YouGov
SurveyUSA/Civitas,
CBS/NYT/YouGov,
Newsday/News 12 Long Island/Siena,
Dartmouth,Dartmouth College
Keating,
Gallup,Gallup
McLaughlin,
Texas Lyceum,
SurveyUSA/WCMH,
Dittman,Dittman Research
Monmouth University,
North Star Opinion Research,
The Polling Company (R)/Breitbart,
Basswood,Basswood Research
High Point University,High Point University
Fairleigh Dickinson,
FMMMA,
Albuquerque Journal/Research & Polling,
AFSCME Polling Center,
Mercyhurst University,
WPA Opinion Research,Wilson Research Strategies
Clarity,
Global Strategy Group,Global Strategy Group
Nielson Brothers Polling/Northern Plain News,
InsiderAdvantage/Fox 5 Atlanta/Morris News Service,
GaPundit.com,
Marquette Law School,
BYU,
Anzalone Liszt Grove,
Washington Post/University of Maryland,
We Ask America,We Ask America
Fabrizio,
Time Warner Cable News/Siena,
Pan Atlantic SMS Group,Pan Atlantic SMS Group
Landmark,Landmark Communications
Denno,
Clemson,
Mason-Dixon/Star Tribune,
Chicago Tribune,
Daily Kos,
Triton,
U of Arkansas,
Critical Insights,Critical Insights
Moore,
Elway/Oregonian/KGW,
Gravis Marketing/TownHall.com,
Saint Leo University,
Municipoll,
SurveyUSA/WFLA-TV,
St. Mary's College of Maryland,
NPR,NPR
Winthrop University,
AP-GfK (Web),
Global Strategy Group/Lester,
UNH/Portland Press Herald/Maine Sunday Telegram,
Zogby (Internet),
Pew,Pew Research Center
We Ask America/The Illinois Observer,
McClatchy/Marist,
NBC/WSJ,NBC News/Wall Street Journal
NSON,
Wilson Perkins Allen Opinion Research,
Washington Post,
Siena,
Hendrix College/Talk Business,Hendrix College
"Fabrizio, McLaughlin & Associates","Fabrizio, Lee & Associates"
SurveyUSA/KGTV-TV/U-T San Diego,
MassINC/WBUR,
Mason-Dixon/News Service of Florida,
SurveyUSA,SurveyUSA
Mason-Dixon/Argus Leader/KELO-TV,
GBA Strategies,GBA Strategies
Hill Research,
Robert Morris University,
USC/LA Times,
Suffolk/USA Today,
We Ask America/Capitol Fax,
Hamilton,Hamilton Campaigns
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,
CBS/Times,CBS News/New York Times
OnMessage,
We Ask America/Reboot Illinois,
Roanoke College,Roanoke College
WNEU,
StPetePolls.org,StPetePolls.org
NBC4/Washington Post/Marist,
20/20 Insight,20/20 Insight
Abt SRBI Inc/Atlanta Journal-Constitution,
Quinnipiac,
FOX,
SurveyUSA/KPIX,
SurveyUSA/11Alive,
NBC4/WAMU/Washington Informer/Marist,
Chism Strategies,
Pew/USA Today,
UMass Amherst/YouGov,
Lukens Company,
TargetPoint,
Tulchin Research,Tulchin Research
Southern Illinois University,
MPRC,
Strategies 360,Strategies 360
Mason-Dixon/Casper Star-Tribune,
SurveyUSA/KSN-TV,
NYT/Kaiser,
MassINC,MassINC Polling Group
UMass Lowell/7 News,
University of Florida,
USA Today/PSRAI,
Wenzel Strategies,Wenzel Strategies
R.L. Repass & Partners/Charleston Daily Mail,
Franklin and Marshall College,
Elon,
Hellenthal,Hellenthal & Associates
Glengariff/Detroit News/WDIV,
Rosetta Stone,
RRH/PMI,
Ipsos/Bangor Daily News,
SurveyUSA/KABC/KFSN/KGTV/KPIX,
U of Texas/Texas Tribune,
GWU/Battleground,
Rasmussen,
WSJ/NBC New York/Marist,
National Research,"National Research, Inc."
Multi-Quest,Multi Quest International Inc
Mason-Dixon/Telemundo/Leadership Florida/Florida Press Association,
R.L. Repass & Partners,
University of Illinois Springfield,
Diamond,
DHM/Oregon Public Broadcasting,
Susquehanna,
SoonerPoll.com/KWTV/KOTV,
Public Opinion Strategies,Public Opinion Strategies
DFM Research,DFM Research
St Norbert/WPR,
ABC/Post,ABC News/Washington Post
Muhlenberg/Morning Call,
SurveyUSA/TWC News North Carolina,
Crantford,
Harstad,
SurveyUSA/KOTA/KSFY/Aberdeen American News,
Gravis Marketing,Gravis Marketing
SurveyUSA/KSN,
Remington,
SurveyUSA/KSTP-TV,
Impact,
Behavior Research Center,Behavior Research Center (Rocky Mountain)
Hampton University,Hampton University
American Viewpoint,American Viewpoint
Marketing Resource Group,
YouGov/Economist,YouGov
HuffPost/YouGov,YouGov
VSS,
UNF,
Purple Strategies,Purple Strategies
Target-Insyght/MIRS,
Frederick Polls,Frederick Polls
InsiderAdvantage,InsiderAdvantage
Target-Insyght/MIRS/GCSI,
Garin-Hart-Yang,
SurveyUSA/High Point University,
Stockton,
NBC4/Marist,
American Insights,
Hickman,
Fleming and Associates/WPRI,
Honolulu Star-Advertiser/Hawaii News Now/Ward Research,
Des Moines Register/Selzer,
Christopher Newport,
SurveyUSA/KFSN-TV,
Mitchell Research/Fox 2 Detroit,
Braun/Tampa Bay Times/Bay News 9/WUSF,
GEB International,
PPIC,
Mark Blankenship Enterprises,
SurveyUSA/KGTV-TV,
JMC Analytics and Polling,JMC Enterprises of Louisiana
Cole Hargrave Snodgrass,
SurveyUSA/WRAL,
SurveyUSA/KWCH-TV,
Cherry,
Reason/Rupe,
Lake Research Partners,
Lake,
Civitas,
MTSU,
Field,
MSU-Billings,
Ipsos/Reuters,
NY1/Siena,
Bloomberg/Des Moines Register/Selzer,
Western Kentucky University,
"Normington, Petts & Associates",
New England College,New England College
Gravis Marketing/Human Events,
Suffolk,
GQR,
Politico/GWU/Battleground,
Dan Jones & Associates,Dan Jones & Associates
Sunshine State News/VSS,
SoonerPoll.com/Tulsa World,
EPIC-MRA,
CBS,CBS News/New York Times
NBC/WSJ/Annenberg,
Landmark/Rosetta Stone,
POS,
DCCC,
PPP,
Syracuse.com/Post-Standard/Siena,
Bloomberg,
University of Delaware,
Mitchell Research,
Benenson,
Mitchell Research/MIRS,
The Polling Company Inc./WomanTrend,
Honolulu Civil Beat/Merriman,
Chicago Tribune/WGN,
Vox Populi,Vox Populi Communications
Gonzales Research,
NYT/NY1/Siena,
Emerson College Polling Society/WGBH,
Southern Media/Opinion Research,
Suffolk/Boston Herald,
SoonerPoll.com/News on 6/News 9,
Tarrance,
VCR,
Kiley,
CNN,
Myers,
Emerson College Polling Society,
Hays Research,Hays Research Group
UNH/WMUR,
WWNY-7 News/Siena,
We Ask America/Chicago Sun-Times,
Ivan Moore,
Hicks Evaluation Group,
Opinion Research Associates,Opinion Research Associates
Baltimore Sun/OpinionWorks,
University of Florida/Tampa Bay Times/Bay News 9,
Boston Globe/SocialSphere,
Lake Research,
Mass Insight/Opinion Dynamics,
ARG,American Research Group
Mellman,
Magellan,
Gravis/Human Events,
SurveyUSA/Denver Post,
UMass Amherst/WBZ-TV/YouGov,
